Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],2023 [YR2023]
Singapore,SGP,"Population, total",SP.POP.TOTL,5637022,5453566,5685807,5703569,5638676,5612253,5607283,5535002,5469724,5399162,5312437,5183688,5076732,4987573,4839396,4588599,4401365,4265762,4166664,4114826,4175950,4138012,4027887,3958723,3927213,3796038,3670704,3524506,3419048,3313471,3230698,3135083,3047132,2930901,2846108,2774789,2733373,2735957,2732221,2681061,2646466,2532835,2413945,2383500,2353600,2325300,2293300,2262600,5917648
Singapore,SGP,Population growth (annual %),SP.POP.GROW,3.30862052439523,-4.17033630017526,-0.311904961250833,1.14428330688929,0.469704298714121,0.0885954699924263,1.29743609938602,1.18637693749822,1.29844017799226,1.61930809858875,2.45339033031018,2.08490245606007,1.77183287926401,3.0159499147579,5.32151708302623,4.16600286360933,3.1293891560754,2.35051128857175,1.2519166730553,-1.47453284191939,0.912639805776796,2.69735584326358,1.73204223254257,0.799148451003927,3.39721227677289,3.35744219516066,4.06431846839031,3.03781348481124,3.13658693183625,2.5298067473268,3.00425639462047,2.84548286486563,3.88909360745296,2.93574373454983,2.53777386733667,1.50383305795572,-0.0944905570612704,0.136645170706526,1.89022198562678,1.29874466224405,4.38859363289509,4.80768900934127,1.26923429916508,1.26239247977074,1.20970078915976,1.38572346856491,1.347723377756,1.46026991588953,4.85831607781442
Singapore,SGP,Surface area (sq. km),AG.SRF.TOTL.K2,728,728,728,726,724,722,719,719,719,717,716,714,712,710,710,705,704,699,699,697,685,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,..
Singapore,SGP,Population density (people per sq. km of land area),EN.POP.DNST,7851.00557103064,7595.49582172702,7918.95125348189,7965.87849162011,7897.30532212885,7882.37780898876,7908.72073342736,7806.77291960508,7714.7023977433,7636.72135785007,7524.69830028329,7363.19318181818,7231.81196581197,7125.10428571429,6913.42285714286,6602.30071942446,6342.02449567723,6191.23657474601,6047.40783744557,5989.55749636099,6186.59259259259,6176.13731343284,6011.77164179105,5908.54179104478,5861.51194029851,5665.72835820895,5478.66268656716,5260.45671641791,5103.05671641791,4945.47910447761,4821.93731343284,4679.22835820895,4547.95820895522,4374.47910447761,4247.9223880597,4141.47611940299,4079.66119402985,4083.51791044776,4077.94179104478,4001.58358208955,3949.94925373134,3780.35074626866,3602.90298507463,3557.46268656716,3512.83582089552,3470.59701492537,3422.83582089552,3377.01492537313,..
Singapore,SGP,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,377484557663.763,354303503819.187,314364916665.983,335416058465.037,318867332997.27,308252823227.576,298909777533.964,294216880670.243,308379135365.297,294065818760.641,274706598269.243,250101189864.514,228090229433.827,186120545581.112,180169589123.128,165243339656.008,143247234804.234,122983016874.302,109050982705.473,96456251432.0385,91859462975.5774,91562446398.0077,95391028847.2284,92486827084.9743,94291774714.7132,105245561061.786,94019289537.5259,83268369653.9213,71042616832.9508,58696422927.3994,49330563750.765,40673892395.4868,34878922596.4585,30245676424.5142,26530700323.7973,22422591234.4476,20043109140.7449,19422985260.923,18921229414.4693,16529838912.7552,15033035464.1866,13630783938.2495,11412030626.4604,9514854748.85054,7927098865.91205,7020747363.91164,6721881893.33504,6011457064.20551,417722203450.234
Singapore,SGP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,66970,64970,55290,58810,56550,54920,53310,53160,56380,54470,51710,48250,44930,37320,37230,36010,32550,28830,26170,23440,22000,22130,23680,23360,24010,27730,25610,23630,20780,17710,15270,12970,11450,10320,9320,8080,7330,7100,6930,6170,5680,5380,4730,3990,3370,3020,2930,2660,70590
Singapore,SGP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,646662736191.423,611569622317.811,498956695159.263,532198398665.491,514177310290.45,499488735790.67,472655777910.407,449493482173.023,446405425660.506,424444387608.882,416795638280.343,400707778808.442,378652526076.435,313112452689.649,315740166763.797,307413398857.702,274306788419.316,236722407661.33,212892598202.186,195379502324.174,184518919785.967,177193005501.016,175268013287.852,159937473991.033,149680439279.701,152054766571.37,134376458232.9,124569558114.039,113172118521.384,97506909394.8788,87351527750.6647,78830704039.7154,71838367718.6397,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,702762021496.9
Singapore,SGP,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,114720,112140,87750,93310,91190,89000,84290,81210,81610,78610,78460,77300,74590,62780,65240,67000,62320,55490,51090,47480,44190,42820,43510,40400,38110,40060,36610,35340,33100,29430,27040,25140,23580,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,118760
Singapore,SGP,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.8951219512195,83.0926829268293,83.5439024390244,83.5951219512195,83.2975609756098,83.0951219512195,82.8463414634146,82.7439024390244,82.4951219512195,82.2463414634147,81.9951219512195,81.7439024390244,81.5414634146342,81.2414634146342,80.790243902439,80.4414634146342,80.1414634146341,79.990243902439,79.490243902439,79.0390243902439,78.5512195121951,78.2512195121951,77.9512195121951,77.5512195121951,77.3,76.8975609756097,76.5951219512195,76.2951219512195,76.1975609756098,76.0463414634146,75.9463414634146,75.6463414634146,75.2951219512195,74.9463414634146,74.6975609756098,74.5487804878049,74.2463414634146,73.890243902439,73.290243902439,73.0365853658537,72.6878048780488,72.5878048780488,72.190243902439,71.461756097561,71.2835609756098,71.0261219512195,70.7470487804878,70.405512195122,82.8951219512195
Singapore,SGP,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.04,1.12,1.1,1.14,1.14,1.16,1.2,1.24,1.25,1.19,1.29,1.2,1.15,1.22,1.28,1.29,1.28,1.26,1.26,1.27,1.37,1.41,1.6,1.47,1.48,1.61,1.66,1.67,1.71,1.74,1.72,1.73,1.83,1.75,1.96,1.62,1.43,1.61,1.62,1.61,1.74,1.78,1.82,1.79,1.79,1.82,2.11,2.07,0.97
Singapore,SGP,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,2.17,2.16,2.276,2.303,2.359,2.328,2.405,2.568,2.995,3.203,3.792,3.956,4.054,4.561,5.18,5.417,5.645,5.938,5.872,6.108,7.076,7.234,7.808,7.094,6.55,6.263,6.168,6.182,6.64,7.231,7.286,7.415,7.367,6.534,7.256,7.359,8.117,9.841,10.406,10.615,11.502,11.753,12.073,12.017,12.29,13.44,15.98,16.654,2.16
Singapore,SGP,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62,..,..,..,..,65,..,..,..,..,67,..,..,..,..,74,..,..,..,..,71.3,..,..,..
Singapore,SGP,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,99.6,99.6,99.6,99.6,99.6,99.7,99.7,99.7,99.6,99.7,99.7,99.7,99.7,99.8,99.7,99.7,99.7,99.7,99.7,99.7,99.6,99.7,99.7,99.7,99.7,99.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
